"","phon","start","end","word"
"1","sp",0,0.514,"sp"
"2","HH",0.514,0.574,"HOED"
"3","OW1",0.574,0.824,"HOED"
"4","D",0.824,0.964,"HOED"
"5","sp",0.964,1.064,"sp"
"6","DH",1.064,1.113,"THE"
"7","AH0",1.113,1.154,"THE"
"8","W",1.154,1.294,"WORD"
"9","ER1",1.294,1.373,"WORD"
"10","D",1.373,1.394,"WORD"
"11","IH1",1.394,1.473,"IS"
"12","Z",1.473,1.574,"IS"
"13","HH",1.574,1.604,"HOED"
"14","OW1",1.604,1.794,"HOED"
"15","D",1.794,1.964,"HOED"
"16","sp",1.964,2.634,"sp"
"17","B",2.634,2.694,"BOON"
"18","UW1",2.694,2.844,"BOON"
"19","N",2.844,2.924,"BOON"
"20","DH",2.924,2.964,"THE"
"21","AH0",2.964,3.014,"THE"
"22","W",3.014,3.134,"WORD"
"23","ER1",3.134,3.204,"WORD"
"24","D",3.204,3.224,"WORD"
"25","IH1",3.224,3.274,"IS"
"26","Z",3.274,3.354,"IS"
"27","B",3.354,3.474,"BOON"
"28","UW1",3.474,3.614,"BOON"
"29","N",3.614,3.704,"BOON"
"30","sp",3.704,4.394,"sp"
"31","B",4.394,4.434,"BUD"
"32","AH1",4.434,4.654,"BUD"
"33","D",4.654,4.744,"BUD"
"34","sp",4.744,4.874,"sp"
"35","DH",4.874,4.964,"THE"
"36","AH0",4.964,5.034,"THE"
"37","W",5.034,5.094,"WORD"
"38","ER1",5.094,5.164,"WORD"
"39","D",5.164,5.184,"WORD"
"40","IH1",5.184,5.244,"IS"
"41","Z",5.244,5.334,"IS"
"42","B",5.334,5.394,"BUD"
"43","AH1",5.394,5.544,"BUD"
"44","D",5.544,5.824,"BUD"
"45","sp",5.824,6.204,"sp"
"46","B",6.204,6.254,"BOD"
"47","AO1",6.254,6.534,"BOD"
"48","D",6.534,6.634,"BOD"
"49","sp",6.634,6.774,"sp"
"50","DH",6.774,6.834,"THE"
"51","AH0",6.834,6.864,"THE"
"52","W",6.864,7.014,"WORD"
"53","ER1",7.014,7.054,"WORD"
"54","D",7.054,7.074,"WORD"
"55","IH1",7.074,7.104,"IS"
"56","Z",7.104,7.214,"IS"
"57","B",7.214,7.284,"BOD"
"58","AO1",7.284,7.494,"BOD"
"59","D",7.494,7.644,"BOD"
"60","sp",7.644,8.154,"sp"
"61","B",8.154,8.194,"BIN"
"62","IH1",8.194,8.354,"BIN"
"63","N",8.354,8.553,"BIN"
