"","phon","start","end","word","wstart","wend"
"1","sp",0,0.013,"sp",0,0.013
"2","sp",0.013,0.133,"sp",0.013,0.133
"3","HH",0.133,0.193,"HEY'D",0.133,0.573
"4","EY1",0.193,0.493,"HEY'D",0.133,0.573
"5","D",0.493,0.573,"HEY'D",0.133,0.573
"6","sp",0.573,0.753,"sp",0.573,0.753
"7","DH",0.753,0.803,"THE",0.753,0.852
"8","AH0",0.803,0.852,"THE",0.753,0.852
"9","W",0.852,0.992,"WORD",0.852,1.293
"10","ER1",0.992,1.182,"WORD",0.852,1.293
"11","D",1.182,1.293,"WORD",0.852,1.293
"12","sp",1.293,1.343,"sp",1.293,1.343
"13","IH1",1.343,1.593,"IS",1.343,1.703
"14","Z",1.593,1.703,"IS",1.343,1.703
"15","sp",1.703,2.033,"sp",1.703,2.033
"16","HH",2.033,2.113,"HEY'D",2.033,2.363
"17","EY1",2.113,2.283,"HEY'D",2.033,2.363
"18","D",2.283,2.363,"HEY'D",2.033,2.363
"19","sp",2.363,2.723,"sp",2.363,2.723
"20","B",2.723,2.763,"BAY'D",2.723,3.173
"21","EY1",2.763,3.073,"BAY'D",2.723,3.173
"22","D",3.073,3.173,"BAY'D",2.723,3.173
"23","sp",3.173,3.353,"sp",3.173,3.353
"24","DH",3.353,3.413,"THE",3.353,3.453
"25","AH0",3.413,3.453,"THE",3.353,3.453
"26","W",3.453,3.543,"WORD",3.453,3.883
"27","ER1",3.543,3.763,"WORD",3.453,3.883
"28","D",3.763,3.883,"WORD",3.453,3.883
"29","sp",3.883,3.923,"sp",3.883,3.923
"30","IH1",3.923,4.143,"IS",3.923,4.243
"31","Z",4.143,4.243,"IS",3.923,4.243
"32","sp",4.243,4.273,"sp",4.243,4.273
"33","B",4.273,4.303,"BAY'D",4.273,4.613
"34","EY1",4.303,4.573,"BAY'D",4.273,4.613
"35","D",4.573,4.613,"BAY'D",4.273,4.613
"36","sp",4.613,5.083,"sp",4.613,5.083
"37","HH",5.083,5.113,"HEED",5.083,5.413
"38","IY1",5.113,5.363,"HEED",5.083,5.413
"39","D",5.363,5.413,"HEED",5.083,5.413
"40","sp",5.413,5.593,"sp",5.413,5.593
"41","DH",5.593,5.653,"THE",5.593,5.693
"42","AH0",5.653,5.693,"THE",5.593,5.693
"43","W",5.693,5.803,"WORD",5.693,6.063
"44","ER1",5.803,5.973,"WORD",5.693,6.063
"45","D",5.973,6.063,"WORD",5.693,6.063
"46","IH1",6.063,6.243,"IS",6.063,6.313
"47","Z",6.243,6.313,"IS",6.063,6.313
"48","HH",6.313,6.443,"HEED",6.313,6.753
"49","IY1",6.443,6.663,"HEED",6.313,6.753
"50","D",6.663,6.753,"HEED",6.313,6.753
"51","sp",6.753,7.243,"sp",6.753,7.243
"52","B",7.243,7.263,"BED",7.243,7.583
"53","EH1",7.263,7.483,"BED",7.243,7.583
"54","D",7.483,7.583,"BED",7.243,7.583
"55","sp",7.583,7.713,"sp",7.583,7.713
"56","DH",7.713,7.793,"THE",7.713,7.833
"57","AH0",7.793,7.833,"THE",7.713,7.833
"58","W",7.833,7.933,"WORD",7.833,8.192
"59","ER1",7.933,8.083,"WORD",7.833,8.192
"60","D",8.083,8.192,"WORD",7.833,8.192
"61","IH1",8.192,8.343,"IS",8.192,8.372
"62","Z",8.343,8.372,"IS",8.192,8.372
"63","B",8.372,8.513,"BED",8.372,8.772
"64","EH1",8.513,8.712,"BED",8.372,8.772
"65","D",8.712,8.772,"BED",8.372,8.772
"66","sp",8.772,9.212,"sp",8.772,9.212
"67","B",9.212,9.233,"BAD",9.212,9.563
"68","AE1",9.233,9.522,"BAD",9.212,9.563
"69","D",9.522,9.563,"BAD",9.212,9.563
"70","sp",9.563,9.712,"sp",9.563,9.712
"71","DH",9.712,9.772,"THE",9.712,9.802
"72","AH0",9.772,9.802,"THE",9.712,9.802
"73","W",9.802,9.942,"WORD",9.802,10.163
"74","ER1",9.942,10.063,"WORD",9.802,10.163
"75","D",10.063,10.163,"WORD",9.802,10.163
"76","IH1",10.163,10.353,"IS",10.163,10.433
"77","Z",10.353,10.433,"IS",10.163,10.433
"78","sp",10.433,10.503,"sp",10.433,10.503
"79","B",10.503,10.522,"BAD",10.503,10.882
"80","AE1",10.522,10.833,"BAD",10.503,10.882
"81","D",10.833,10.882,"BAD",10.503,10.882
"82","sp",10.882,11.112,"sp",10.882,11.112
"83","S",11.112,11.143,"STOOD",11.112,11.483
"84","T",11.143,11.192,"STOOD",11.112,11.483
"85","UH1",11.192,11.393,"STOOD",11.112,11.483
"86","D",11.393,11.483,"STOOD",11.112,11.483
"87","sp",11.483,11.612,"sp",11.483,11.612
"88","DH",11.612,11.702,"THE",11.612,11.753
"89","AH0",11.702,11.753,"THE",11.612,11.753
"90","W",11.753,11.862,"WORD",11.753,12.052
"91","ER1",11.862,11.973,"WORD",11.753,12.052
"92","D",11.973,12.052,"WORD",11.753,12.052
"93","IH1",12.052,12.233,"IS",12.052,12.313
"94","Z",12.233,12.313,"IS",12.052,12.313
