"vowel","start","end","word","wstart","wend"
"UW1",0.296,0.536,"BOON",0.236,0.666
"UW1",1.736,1.986,"BOON",1.666,2.115
"EY1",2.556,2.806,"HEY'D",2.476,2.836
"AE1",3.106,3.326,"HAD",3.006,3.436
"IY1",3.856,4.116,"HEED",3.776,4.166
"EY1",4.506,4.686,"BANE",4.456,4.846
"EY1",5.536,5.826,"BANE",5.496,5.996
"AO1",6.446,6.686,"HAW'D",6.316,6.816
"EY1",7.106,7.346,"BAY'D",7.056,7.406
"EY1",8.476,8.745,"BAY'D",8.435,8.866
"OW1",9.216,9.446,"BODE",9.076,9.585
"OW1",10.626,10.896,"BODE",10.576,11.085
"IH1",11.255,11.406,"HID",11.156,11.566
"AO1",12.056,12.226,"HAW'D",11.986,12.335
"AO1",13.366,13.585,"HAW'D",13.275,13.726
"ER1",14.066,14.316,"HEARD",13.876,14.476
"OW1",14.786,15.025,"BONE",14.656,15.126
"OW1",16.036,16.315,"BONE",15.976,16.435
"ER1",16.826,17.006,"HEARD",16.666,17.086
"ER1",18.186,18.366,"HEARD",18.045,18.466
"AH1",18.786,18.996,"BUD",18.746,19.045
"AE1",19.326,19.596,"BAD",19.306,19.676
"AE1",20.506,20.795,"BAD",20.486,20.885
"AE1",21.295,21.565,"BAD",21.276,21.596
"IH1",22.455,22.626,"BIN",22.336,22.786
"IH1",23.736,23.906,"BIN",23.686,24.065
"IY1",24.385,24.635,"BEAD",24.336,24.676
"AO1",24.936,25.186,"BOD",24.896,25.256
"AO1",26.076,26.336,"BOD",26.045,26.446
"IY1",26.736,26.955,"BEAD",26.696,27.056
"IY1",27.966,28.196,"BEAD",27.815,28.256
"IY1",28.696,28.885,"HEED",28.475,28.996
"IY1",30.006,30.216,"HEED",29.906,30.295
"AH1",30.716,30.896,"BUN",30.586,31.016
"AH1",31.926,32.126,"BUN",31.896,32.266
"UW1",32.706,32.876,"WHO'D",32.526,32.946
"EH1",33.316,33.556,"BED",33.286,33.676
"EH1",34.446,34.656,"BED",34.396,34.766
"ER1",35.006,35.166,"BIRD",34.956,35.266
"ER1",36.136,36.346,"BIRD",36.086,36.476
"AO1",36.646,36.886,"BAWN",36.546,37.046
"AO1",37.916,38.136,"BAWN",37.876,38.306
"IH1",38.626,38.836,"BID",38.596,38.956
"IH1",39.816,40.036,"BID",39.796,40.056
"UW1",40.366,40.586,"BOO'D",40.186,40.716
"OW1",41.286,41.506,"HOED",41.166,41.676
"UH1",42.516,42.706,"STOOD",42.436,42.796
"UH1",43.616,43.796,"STOOD",43.366,43.936
"EY1",44.436,44.646,"BAY'D",44.396,44.706
"OW1",45.026,45.246,"HOED",44.906,45.356
"OW1",46.066,46.226,"HOED",45.966,46.306
"UW1",46.526,46.726,"BOO'D",46.466,46.816
"UW1",47.706,47.926,"BOO'D",47.596,47.986
"IH1",48.446,48.676,"BID",48.426,49.256
"UW1",49.536,49.656,"WHO'D",49.446,49.786
"UW1",50.576,50.766,"WHO'D",50.486,50.826
"UH1",51.226,51.376,"HOOD",51.116,51.436
"UH1",52.236,52.396,"HOOD",52.126,52.466
"IH1",52.956,53.116,"HID",52.826,53.236
"IH1",54.016,54.166,"HID",53.916,54.226
"AE1",54.576,54.726,"HAD",54.416,54.816
"AE1",55.556,55.726,"HAD",55.436,55.866
"AE1",56.096,56.356,"BAN",55.926,56.506
"AE1",57.136,57.456,"BAN",57.076,57.566
"ER1",58.156,58.356,"BIRD",58.106,58.436
"EH1",58.796,59.006,"BEN",58.776,59.156
"EH1",59.916,60.126,"BEN",59.886,60.276
"AH1",60.706,60.926,"BUD",60.686,60.966
"AH1",61.936,62.126,"BUD",61.906,62.206
"UH1",62.636,62.806,"STOOD",62.406,62.896
"AH1",63.286,63.446,"HUD",63.146,63.506
"AH1",64.305,64.496,"HUD",64.216,64.555
"AO1",64.866,65.086,"BOD",64.826,65.146
"IY1",65.396,65.676,"BEAN",65.196,65.706
"IY1",66.416,66.596,"BEAN",66.366,66.716
"UH1",67.086,67.236,"HOOD",66.996,67.346
"EY1",67.896,68.046,"HEY'D",67.796,68.116
"EY1",68.906,69.096,"HEY'D",68.816,69.166
"AH1",69.516,69.716,"HUD",69.376,69.746
"EH1",70.086,70.286,"HEAD",69.986,70.326
"EH1",71.126,71.286,"HEAD",71.036,71.386
"EH1",71.656,71.936,"BED",71.636,72.066
"OW1",72.566,72.826,"BODE",72.096,72.896
"ER1",73.476,73.706,"BURN",73.426,73.896
"ER1",74.656,74.926,"BURN",74.606,75.076
"EH1",75.376,75.556,"HEAD",75.266,75.646
